k,patient_doctor_overlap,patient_cs_overlap,patient_feature_importance_overlap
110,0.9454545454545454,0.9272727272727272,0.8636363636363636
111,0.9459459459459459,0.9369369369369369,0.8738738738738738
112,0.9553571428571429,0.9464285714285714,0.8839285714285714
113,0.9557522123893806,0.9380530973451328,0.8938053097345132
114,0.956140350877193,0.9298245614035088,0.9035087719298246
115,0.9565217391304348,0.9391304347826087,0.9130434782608695
116,0.9655172413793104,0.9482758620689655,0.9224137931034483
117,0.9658119658119658,0.9487179487179487,0.9230769230769231
118,0.9745762711864406,0.9576271186440678,0.923728813559322
119,0.9747899159663865,0.957983193277311,0.9327731092436975
120,0.975,0.9666666666666667,0.9416666666666667
121,0.9752066115702479,0.9752066115702479,0.9504132231404959
122,0.9836065573770492,0.9754098360655737,0.9590163934426229
123,0.983739837398374,0.983739837398374,0.967479674796748
124,0.9919354838709677,0.9919354838709677,0.9758064516129032
125,1.0,1.0,0.976
126,0.9920634920634921,0.9920634920634921,0.9841269841269841
127,0.9921259842519685,0.9921259842519685,0.9921259842519685
128,1.0,1.0,1.0
