module_key,checkpoint_path,rf_importance,rf_importance_rank,mean_cs_unigram_avg_single,mean_doctor_unigram_avg_single,mean_patient_unigram_avg_single
1_10,BloodMNIST/L16_WD01_asinh_R18_128/1_10/L16_WD01_asinh_R18_128__13/checkpoint_0.pickle,0.001748093733528617,62,9.185185185185185,6.777777777777779,5.083333333333335
1_7,BloodMNIST/L16_WD01_asinh_R18_128/1_7/L16_WD01_asinh_R18_128__12/checkpoint_0.pickle,0.0017434784034555367,63,8.592592592592593,5.820987654320987,4.41358024691358
1_6,BloodMNIST/L16_WD01_asinh_R18_128/1_6/L16_WD01_asinh_R18_128__10/checkpoint_0.pickle,0.0017206147939022474,64,8.909090909090908,6.646464646464647,5.181818181818181
1_13,BloodMNIST/L16_WD01_asinh_R18_128/1_13/L16_WD01_asinh_R18_128__12/checkpoint_0.pickle,0.0016217005885540137,65,8.512820512820513,5.153846153846154,2.752136752136752
1_14,BloodMNIST/L16_WD01_asinh_R18_128/1_14/L16_WD01_asinh_R18_128__4/checkpoint_0.pickle,0.0015781612351424429,66,8.742424242424242,5.863636363636363,4.01010101010101
1_8,BloodMNIST/L16_WD01_asinh_R18_128/1_8/L16_WD01_asinh_R18_128__3/checkpoint_0.pickle,0.0014856172153175683,67,7.847222222222222,4.47008547008547,2.64957264957265
1_16,BloodMNIST/L16_WD01_asinh_R18_128/1_16/L16_WD01_asinh_R18_128__1/checkpoint_0.pickle,0.0014787772151204802,68,8.333333333333334,5.427350427350428,3.7948717948717947
1_5,BloodMNIST/L16_WD01_asinh_R18_128/1_5/L16_WD01_asinh_R18_128__11/checkpoint_0.pickle,0.0014169008622688197,69,8.625730994152049,5.859649122807016,4.116959064327485
1_5,BloodMNIST/L16_WD01_asinh_R18_128/1_5/L16_WD01_asinh_R18_128__1/checkpoint_0.pickle,0.0013977435902481977,70,8.2020202020202,5.262626262626262,3.505050505050505
1_14,BloodMNIST/L16_WD01_asinh_R18_128/1_14/L16_WD01_asinh_R18_128__2/checkpoint_0.pickle,0.0013969622167376544,71,8.314814814814817,5.393518518518518,3.671296296296296
1_7,BloodMNIST/L16_WD01_asinh_R18_128/1_7/L16_WD01_asinh_R18_128__13/checkpoint_0.pickle,0.0013277556937656507,72,8.5,5.703703703703703,3.6666666666666674
1_16,BloodMNIST/L16_WD01_asinh_R18_128/1_16/L16_WD01_asinh_R18_128__12/checkpoint_0.pickle,0.0012215883848698628,73,8.367521367521368,5.316239316239317,3.8888888888888897
1_13,BloodMNIST/L16_WD01_asinh_R18_128/1_13/L16_WD01_asinh_R18_128__3/checkpoint_0.pickle,0.001158061988349706,74,8.251851851851852,5.17037037037037,3.503703703703704
1_9,BloodMNIST/L16_WD01_asinh_R18_128/1_9/L16_WD01_asinh_R18_128__3/checkpoint_0.pickle,0.0011317469804834354,75,8.555555555555555,5.45925925925926,3.518518518518519
1_7,BloodMNIST/L16_WD01_asinh_R18_128/1_7/L16_WD01_asinh_R18_128__10/checkpoint_0.pickle,0.0009254976099515408,76,8.34126984126984,5.317460317460317,3.4682539682539684
1_8,BloodMNIST/L16_WD01_asinh_R18_128/1_8/L16_WD01_asinh_R18_128__10/checkpoint_0.pickle,0.000872426889368461,77,8.873015873015873,5.857142857142856,3.555555555555556
1_8,BloodMNIST/L16_WD01_asinh_R18_128/1_8/L16_WD01_asinh_R18_128__1/checkpoint_0.pickle,0.0008678856220154876,78,8.528935185185185,5.407407407407407,3.1666666666666665
1_8,BloodMNIST/L16_WD01_asinh_R18_128/1_8/L16_WD01_asinh_R18_128__12/checkpoint_0.pickle,0.0007504171993980161,79,8.575231481481481,5.6759259259259265,4.000000000000001
1_11,BloodMNIST/L16_WD01_asinh_R18_128/1_11/L16_WD01_asinh_R18_128__2/checkpoint_0.pickle,0.0007063917610768708,80,8.158730158730158,5.19047619047619,3.2063492063492065
1_11,BloodMNIST/L16_WD01_asinh_R18_128/1_11/L16_WD01_asinh_R18_128__1/checkpoint_0.pickle,0.0006933239805057817,81,8.777777777777779,5.5555555555555545,3.5555555555555554
1_2,BloodMNIST/L16_WD01_asinh_R18_128/1_2/L16_WD01_asinh_R18_128__13/checkpoint_0.pickle,0.0006324527244965913,82,8.766666666666667,6.711111111111111,5.422222222222222
1_1,BloodMNIST/L16_WD01_asinh_R18_128/1_1/L16_WD01_asinh_R18_128__11/checkpoint_0.pickle,0.0006138965355085542,83,8.606837606837606,5.88034188034188,4.401709401709401
1_9,BloodMNIST/L16_WD01_asinh_R18_128/1_9/L16_WD01_asinh_R18_128__4/checkpoint_0.pickle,0.0005868107947239313,84,8.549382716049383,5.895061728395062,4.141975308641975
1_1,BloodMNIST/L16_WD01_asinh_R18_128/1_1/L16_WD01_asinh_R18_128__12/checkpoint_0.pickle,0.0005583443172285945,85,8.543209876543209,5.333333333333334,3.5679012345679015
1_15,BloodMNIST/L16_WD01_asinh_R18_128/1_15/L16_WD01_asinh_R18_128__12/checkpoint_0.pickle,0.0005352902791213839,86,8.603174603174603,5.777777777777778,4.2063492063492065
1_6,BloodMNIST/L16_WD01_asinh_R18_128/1_6/L16_WD01_asinh_R18_128__3/checkpoint_0.pickle,0.0004627888833683189,87,8.655555555555555,5.5,3.077777777777778
1_8,BloodMNIST/L16_WD01_asinh_R18_128/1_8/L16_WD01_asinh_R18_128__11/checkpoint_0.pickle,0.00044404374229682533,88,8.804012345679011,5.864197530864198,4.185185185185185
1_1,BloodMNIST/L16_WD01_asinh_R18_128/1_1/L16_WD01_asinh_R18_128__10/checkpoint_0.pickle,0.00041643320410372927,89,9.11111111111111,6.277777777777778,4.4222222222222225
1_3,BloodMNIST/L16_WD01_asinh_R18_128/1_3/L16_WD01_asinh_R18_128__2/checkpoint_0.pickle,0.00040990078550290213,90,8.907407407407408,6.37037037037037,4.490740740740741
1_15,BloodMNIST/L16_WD01_asinh_R18_128/1_15/L16_WD01_asinh_R18_128__10/checkpoint_0.pickle,0.00036703777959195345,91,8.282407407407408,5.637037037037037,4.125925925925926
1_15,BloodMNIST/L16_WD01_asinh_R18_128/1_15/L16_WD01_asinh_R18_128__11/checkpoint_0.pickle,0.000344552866322054,92,8.762962962962964,5.82962962962963,3.8962962962962964
1_7,BloodMNIST/L16_WD01_asinh_R18_128/1_7/L16_WD01_asinh_R18_128__1/checkpoint_0.pickle,0.0003397867431191311,93,9.037037037037038,6.65432098765432,5.074074074074074
1_2,BloodMNIST/L16_WD01_asinh_R18_128/1_2/L16_WD01_asinh_R18_128__10/checkpoint_0.pickle,0.0003335245026515473,94,9.151515151515152,6.717171717171717,4.666666666666667
1_16,BloodMNIST/L16_WD01_asinh_R18_128/1_16/L16_WD01_asinh_R18_128__11/checkpoint_0.pickle,0.00033008934771798704,95,8.118055555555555,5.104938271604938,3.432098765432099
1_13,BloodMNIST/L16_WD01_asinh_R18_128/1_13/L16_WD01_asinh_R18_128__2/checkpoint_0.pickle,0.0003202614669437963,96,8.426900584795323,5.403508771929825,3.6900584795321634
1_9,BloodMNIST/L16_WD01_asinh_R18_128/1_9/L16_WD01_asinh_R18_128__10/checkpoint_0.pickle,0.0002912505576003738,97,8.871794871794872,6.470085470085469,4.837606837606837
1_12,BloodMNIST/L16_WD01_asinh_R18_128/1_12/L16_WD01_asinh_R18_128__12/checkpoint_0.pickle,0.0002906065142750044,98,8.555555555555557,5.699346405228758,3.6143790849673203
1_12,BloodMNIST/L16_WD01_asinh_R18_128/1_12/L16_WD01_asinh_R18_128__3/checkpoint_0.pickle,0.0002857756689765496,99,9.317460317460318,7.634920634920634,6.079365079365078
1_7,BloodMNIST/L16_WD01_asinh_R18_128/1_7/L16_WD01_asinh_R18_128__3/checkpoint_0.pickle,0.00024001124807568441,100,8.847222222222221,6.73611111111111,5.083333333333334
1_2,BloodMNIST/L16_WD01_asinh_R18_128/1_2/L16_WD01_asinh_R18_128__1/checkpoint_0.pickle,0.00023874541531193865,101,8.765432098765432,6.1234567901234565,4.37037037037037
1_12,BloodMNIST/L16_WD01_asinh_R18_128/1_12/L16_WD01_asinh_R18_128__2/checkpoint_0.pickle,0.00022868295557139126,102,9.155555555555555,6.666666666666666,4.288888888888889
1_15,BloodMNIST/L16_WD01_asinh_R18_128/1_15/L16_WD01_asinh_R18_128__4/checkpoint_0.pickle,0.00020514657895065677,103,8.722222222222223,6.1,4.655555555555556
1_13,BloodMNIST/L16_WD01_asinh_R18_128/1_13/L16_WD01_asinh_R18_128__11/checkpoint_0.pickle,0.00020240768986758628,104,8.347222222222221,4.987654320987654,3.2222222222222223
1_3,BloodMNIST/L16_WD01_asinh_R18_128/1_3/L16_WD01_asinh_R18_128__11/checkpoint_0.pickle,0.00019132208285306117,105,8.555555555555555,5.811965811965811,4.205128205128205
1_2,BloodMNIST/L16_WD01_asinh_R18_128/1_2/L16_WD01_asinh_R18_128__3/checkpoint_0.pickle,0.0001758550248357911,106,8.968253968253967,6.222222222222222,4.174603174603175
1_14,BloodMNIST/L16_WD01_asinh_R18_128/1_14/L16_WD01_asinh_R18_128__11/checkpoint_0.pickle,0.00016716367192653775,107,8.67857142857143,5.615079365079365,4.027777777777778
1_4,BloodMNIST/L16_WD01_asinh_R18_128/1_4/L16_WD01_asinh_R18_128__11/checkpoint_0.pickle,0.00015763986957684475,108,8.666666666666666,5.746031746031746,3.8730158730158735
1_1,BloodMNIST/L16_WD01_asinh_R18_128/1_1/L16_WD01_asinh_R18_128__1/checkpoint_0.pickle,0.0001529924702250584,109,8.644444444444444,5.71111111111111,3.4333333333333336
1_8,BloodMNIST/L16_WD01_asinh_R18_128/1_8/L16_WD01_asinh_R18_128__2/checkpoint_0.pickle,0.00014241436899293505,110,8.083333333333334,4.513888888888888,2.3055555555555554
1_6,BloodMNIST/L16_WD01_asinh_R18_128/1_6/L16_WD01_asinh_R18_128__1/checkpoint_0.pickle,0.00013566259218166245,111,8.403645833333332,5.472222222222222,3.694444444444444
1_1,BloodMNIST/L16_WD01_asinh_R18_128/1_1/L16_WD01_asinh_R18_128__3/checkpoint_0.pickle,0.0001318795555133391,112,8.688888888888888,5.755555555555555,3.6333333333333337
1_4,BloodMNIST/L16_WD01_asinh_R18_128/1_4/L16_WD01_asinh_R18_128__2/checkpoint_0.pickle,0.00011885913366735763,113,9.037037037037036,6.351851851851851,4.666666666666667
1_12,BloodMNIST/L16_WD01_asinh_R18_128/1_12/L16_WD01_asinh_R18_128__1/checkpoint_0.pickle,9.0193871803542e-05,114,8.866666666666667,6.044444444444444,4.122222222222222
1_2,BloodMNIST/L16_WD01_asinh_R18_128/1_2/L16_WD01_asinh_R18_128__2/checkpoint_0.pickle,8.552244229209376e-05,115,8.73611111111111,6.291666666666666,4.736111111111112
1_7,BloodMNIST/L16_WD01_asinh_R18_128/1_7/L16_WD01_asinh_R18_128__11/checkpoint_0.pickle,7.380579612785517e-05,116,8.638888888888888,5.481481481481482,3.861111111111112
1_12,BloodMNIST/L16_WD01_asinh_R18_128/1_12/L16_WD01_asinh_R18_128__4/checkpoint_0.pickle,5.8689478819665564e-05,117,8.37037037037037,5.388888888888889,3.3518518518518525
1_2,BloodMNIST/L16_WD01_asinh_R18_128/1_2/L16_WD01_asinh_R18_128__11/checkpoint_0.pickle,5.838030529567883e-05,118,8.737373737373737,5.848484848484848,3.9797979797979797
1_12,BloodMNIST/L16_WD01_asinh_R18_128/1_12/L16_WD01_asinh_R18_128__13/checkpoint_0.pickle,5.6394938873279546e-05,119,8.488888888888889,5.844444444444444,4.188888888888889
1_5,BloodMNIST/L16_WD01_asinh_R18_128/1_5/L16_WD01_asinh_R18_128__3/checkpoint_0.pickle,5.051116888509981e-05,120,8.649305555555555,5.87962962962963,4.203703703703704
1_2,BloodMNIST/L16_WD01_asinh_R18_128/1_2/L16_WD01_asinh_R18_128__12/checkpoint_0.pickle,4.259586658153396e-05,121,8.569444444444445,6.263888888888889,4.694444444444445
1_16,BloodMNIST/L16_WD01_asinh_R18_128/1_16/L16_WD01_asinh_R18_128__4/checkpoint_0.pickle,3.385277349862145e-05,122,8.575231481481483,6.138888888888888,3.9166666666666665
1_14,BloodMNIST/L16_WD01_asinh_R18_128/1_14/L16_WD01_asinh_R18_128__1/checkpoint_0.pickle,3.0011507451171237e-05,123,8.370370370370372,5.506172839506172,3.3950617283950617
1_10,BloodMNIST/L16_WD01_asinh_R18_128/1_10/L16_WD01_asinh_R18_128__12/checkpoint_0.pickle,1.2233782605312238e-05,124,8.760683760683762,5.854700854700855,3.8205128205128203
1_9,BloodMNIST/L16_WD01_asinh_R18_128/1_9/L16_WD01_asinh_R18_128__1/checkpoint_0.pickle,1.1923890785123676e-05,125,8.087301587301585,4.4682539682539675,2.444444444444445
1_10,BloodMNIST/L16_WD01_asinh_R18_128/1_10/L16_WD01_asinh_R18_128__4/checkpoint_0.pickle,9.276608718562913e-06,126,8.762962962962964,6.037037037037037,4.155555555555556
1_16,BloodMNIST/L16_WD01_asinh_R18_128/1_16/L16_WD01_asinh_R18_128__10/checkpoint_0.pickle,3.922284361087742e-06,127,8.836601307189543,5.921568627450982,4.352941176470587
1_3,BloodMNIST/L16_WD01_asinh_R18_128/1_3/L16_WD01_asinh_R18_128__1/checkpoint_0.pickle,0.0,128,8.647058823529411,5.849673202614379,3.8692810457516336
